solicitud,bc_score,icc,max_atr,mora_real,decil,nivel,prob_cal,prob_raw
47182039,666.0,6.0,6,False,4,ALTO,0.387,0.6556
47156427,637.0,5.0,3,False,4,ALTO,0.387,0.6031
47178641,656.0,7.0,60,True,4,ALTO,0.387,0.6323
47161577,611.0,4.0,76,True,2,MUY ALTO,0.5682,0.7404
47193179,536.0,3.0,79,True,2,MUY ALTO,0.5119,0.732
47205357,644.0,6.0,47,True,3,ALTO,0.4286,0.7032
47179512,674.0,7.0,1,False,4,ALTO,0.387,0.6502
47192279,586.0,5.0,73,True,1,MUY ALTO,0.6466,0.7751
47129675,661.0,6.0,0,False,4,ALTO,0.387,0.6092
47184400,702.0,9.0,40,True,7,BAJO,0.2346,0.3581
47181090,652.0,4.0,71,True,2,MUY ALTO,0.5075,0.7285
47185687,589.0,4.0,53,True,1,MUY ALTO,0.6466,0.794
47164427,628.0,2.0,0,False,2,MUY ALTO,0.5075,0.7198
47148013,603.0,6.0,0,False,3,ALTO,0.4286,0.7017
47136134,684.0,5.0,14,False,6,MEDIO,0.2857,0.5057
47204893,552.0,7.0,0,False,3,ALTO,0.4286,0.7032
47147828,613.0,4.0,1,False,3,ALTO,0.5,0.7123
47156780,608.0,2.0,69,True,3,ALTO,0.4286,0.6835
47159518,659.0,3.0,0,False,7,BAJO,0.2346,0.4578
47203736,636.0,5.0,0,False,3,ALTO,0.4286,0.6792
47175637,667.0,6.0,0,False,4,ALTO,0.387,0.6595
47165165,622.0,3.0,53,True,1,MUY ALTO,0.6466,0.7605
47198551,676.0,6.0,11,False,2,MUY ALTO,0.5407,0.7363
47149550,656.0,5.0,18,False,1,MUY ALTO,0.6466,0.7706
47186296,714.0,8.0,4,False,7,BAJO,0.2346,0.4649
47131744,566.0,7.0,73,True,4,ALTO,0.387,0.6711
47160654,550.0,3.0,71,True,3,ALTO,0.4286,0.6976
47190193,588.0,2.0,1,False,2,MUY ALTO,0.5075,0.7247
47205472,579.0,7.0,154,True,1,MUY ALTO,0.6466,0.7851
47201245,588.0,4.0,0,False,1,MUY ALTO,0.6466,0.7504
47200578,572.0,3.0,71,True,1,MUY ALTO,0.6466,0.7708
47159939,612.0,5.0,0,False,2,MUY ALTO,0.5075,0.724
47167695,547.0,6.0,7,False,4,ALTO,0.387,0.6441
47200983,671.0,7.0,64,True,4,ALTO,0.387,0.6509
47168372,673.0,5.0,66,True,4,ALTO,0.387,0.648
47133535,590.0,6.0,0,False,1,MUY ALTO,0.6466,0.7487
47133326,653.0,4.0,0,False,4,ALTO,0.387,0.6402
47188342,662.0,5.0,3,False,3,ALTO,0.5,0.7097
47185379,593.0,2.0,0,False,1,MUY ALTO,0.6466,0.7523
47139954,571.0,5.0,42,True,1,MUY ALTO,0.6466,0.7807
47128957,542.0,3.0,0,False,3,ALTO,0.4286,0.693
47191886,688.0,8.0,85,True,6,MEDIO,0.2857,0.4989
47135112,673.0,8.0,0,False,6,MEDIO,0.2857,0.5083
47153707,665.0,6.0,0,False,3,ALTO,0.4286,0.7038
47204986,659.0,6.0,0,False,4,ALTO,0.387,0.6084
47148727,656.0,5.0,4,False,3,ALTO,0.4286,0.6799
47157361,664.0,4.0,8,False,4,ALTO,0.387,0.6245
47170327,630.0,7.0,3,False,4,ALTO,0.387,0.5584
47171774,668.0,8.0,151,True,4,ALTO,0.387,0.6765
47191284,656.0,7.0,3,False,4,ALTO,0.387,0.5691
47182274,625.0,5.0,150,True,2,MUY ALTO,0.5075,0.7227
47176391,653.0,4.0,1,False,4,ALTO,0.387,0.5554
47192460,539.0,6.0,8,False,1,MUY ALTO,0.6466,0.779
47145487,610.0,5.0,1,False,4,ALTO,0.387,0.6519
47185331,547.0,7.0,53,True,2,MUY ALTO,0.5075,0.7271
47149092,605.0,6.0,8,False,4,ALTO,0.387,0.6698
47160476,623.0,5.0,0,False,3,ALTO,0.4286,0.6923
47131007,610.0,4.0,47,True,1,MUY ALTO,0.6466,0.7602
47200115,518.0,6.0,86,True,4,ALTO,0.387,0.6319
47177356,676.0,5.0,53,True,3,ALTO,0.4286,0.6892
47197565,606.0,4.0,1,False,1,MUY ALTO,0.6466,0.7548
47165097,535.0,6.0,79,True,3,ALTO,0.4286,0.7036
47148824,670.0,8.0,2,False,6,MEDIO,0.2857,0.546
47149582,628.0,6.0,14,False,4,ALTO,0.387,0.677
47198424,660.0,6.0,0,False,4,ALTO,0.387,0.6407
47160821,615.0,1.0,3,False,4,ALTO,0.387,0.6254
47190038,580.0,7.0,3,False,4,ALTO,0.387,0.6315
47179645,661.0,8.0,3,False,4,ALTO,0.387,0.6549
47193707,627.0,5.0,1,False,1,MUY ALTO,0.6466,0.777
47200912,545.0,6.0,157,True,1,MUY ALTO,0.6466,0.7807
47192583,673.0,6.0,3,False,3,ALTO,0.4286,0.6793
47143047,626.0,5.0,56,True,2,MUY ALTO,0.5075,0.727
47156077,688.0,9.0,0,False,7,BAJO,0.2346,0.3822
47149264,606.0,4.0,0,False,1,MUY ALTO,0.6466,0.7799
47142610,562.0,5.0,32,True,3,ALTO,0.4286,0.6891
47145927,543.0,5.0,0,False,3,ALTO,0.4286,0.681
47200725,665.0,6.0,80,True,3,ALTO,0.4286,0.695
47188256,607.0,3.0,53,True,2,MUY ALTO,0.5623,0.7367
47204673,654.0,6.0,0,False,4,ALTO,0.387,0.6536
47161608,628.0,3.0,76,True,3,ALTO,0.5,0.7115
47194870,683.0,7.0,79,True,4,ALTO,0.387,0.6169
47183966,609.0,3.0,79,True,2,MUY ALTO,0.5682,0.7373
47151318,659.0,5.0,56,True,3,ALTO,0.4286,0.6909
47171240,602.0,6.0,44,True,3,ALTO,0.5,0.7131
47132840,604.0,6.0,72,True,4,ALTO,0.387,0.6558
47132059,607.0,5.0,0,False,3,ALTO,0.4286,0.6922
47141116,652.0,5.0,2,False,1,MUY ALTO,0.6466,0.7545
47168639,644.0,6.0,2,False,4,ALTO,0.387,0.5962
47161871,536.0,3.0,70,True,1,MUY ALTO,0.6466,0.791
47157051,636.0,3.0,158,True,2,MUY ALTO,0.5075,0.7243
47201917,663.0,6.0,0,False,4,ALTO,0.387,0.5849
47197054,659.0,4.0,8,False,3,ALTO,0.4286,0.6857
47195185,643.0,5.0,12,False,4,ALTO,0.387,0.6689
47147282,707.0,8.0,0,False,6,MEDIO,0.2857,0.5325
47205083,548.0,3.0,77,True,2,MUY ALTO,0.5682,0.7467
47150156,544.0,7.0,68,True,3,ALTO,0.4286,0.6882
47199382,584.0,7.0,0,False,4,ALTO,0.387,0.6644
47134145,649.0,4.0,129,True,3,ALTO,0.4286,0.6821
47196719,548.0,3.0,24,False,1,MUY ALTO,0.6466,0.7822
